"TOA5","MET","CR1000","84938","CR1000.Std.31.02","CPU:SGP_E13_MET_20210128.CR1","16813","Table1"
"TIMESTAMP","RECORD","batt_volt","PTemp","Pressure_kPa","Temp_C_Avg","Temp_C_Std","RH_Avg","RH_Std","Vap_Pressure_kPa_Avg","Vap_Pressure_kPa_Std","WS_MS_S_WVT","WS_MS_U_WVT","WindDir_DU_WVT","WindDir_SDU_WVT","rain_mm_Tot","rain_mm_min_corrected","PWDa_ID","PWDa_Alarms","PWDa_Vis_Avg_1min","PWDa_Vis_Avg_10min","PWDa_Code_instant","PWDa_Code_15min","PWDa_Code_1hour","PWDa_H2O_Int_Avg_1min","PWDa_Total_H2O_mm","PWDa_Total_Snow_mm","PCP_Rate","WS_Slope","WS_Offset","TBRG_SN","RainCoefA","RainCoefB"
"TS","RN","","","","","","","","","","","","Deg","Deg","","","","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Avg","Std","Avg","Std","Avg","Std","WVc","WVc","WVc","WVc","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-07-07 20:00:00",1281531,12.99,23.75,97.65,21.77,0.022,100,0.094,2.607,0.004,1.691,1.676,124.5,7.627,0,0,1,0,20000,20000,61,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:01:00",1281532,12.98,23.75,97.64,21.77,0.019,100,0.108,2.608,0.004,2.112,2.1,128.2,6.189,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:02:00",1281533,12.98,23.75,97.64,21.77,0.026,100,0.124,2.606,0.005,2.332,2.296,143.9,10.18,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:03:00",1281534,12.99,23.75,97.64,21.82,0.018,100,0.092,2.616,0.004,2.767,2.757,154.2,4.735,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:04:00",1281535,12.99,23.78,97.64,21.85,0.031,100.1,0.123,2.62,0.006,3.028,3.022,165.9,3.619,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:05:00",1281536,12.99,23.78,97.64,21.99,0.022,100,0.086,2.642,0.004,3.291,3.288,168,2.538,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:06:00",1281537,12.98,23.78,97.64,22.01,0.018,100,0.109,2.645,0.004,3.27,3.257,166.8,5.177,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:07:00",1281538,13.01,23.81,97.64,21.99,0.013,100,0.075,2.642,0.003,2.986,2.976,175.1,4.657,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:08:00",1281539,12.99,23.81,97.65,22,0.016,100.1,0.112,2.645,0.004,3.036,3.022,179.6,5.606,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:09:00",1281540,12.98,23.81,97.65,22.03,0.032,100.1,0.126,2.649,0.006,2.545,2.535,195.5,5.069,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:10:00",1281541,12.98,23.84,97.66,22.05,0.02,100,0.085,2.652,0.003,2.104,2.059,210.5,11.81,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:11:00",1281542,12.98,23.84,97.66,22.06,0.019,100,0.11,2.653,0.004,1.779,1.761,222.6,8.18,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:12:00",1281543,12.98,23.87,97.66,22.1,0.026,100.1,0.081,2.66,0.005,1.674,1.657,230.5,8.32,0,0,1,0,20000,20000,0,61,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:13:00",1281544,12.99,23.87,97.66,22.08,0.034,100,0.123,2.657,0.007,1.385,1.37,228.8,8.4,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:14:00",1281545,12.98,23.9,97.65,22.05,0.021,100,0.079,2.652,0.004,0.366,0.359,220.4,10.97,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:15:00",1281546,12.99,23.9,97.65,22.03,0.035,100,0.102,2.648,0.006,0.046,0.046,186.2,0.467,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:16:00",1281547,12.99,23.93,97.64,21.97,0.03,100,0.077,2.639,0.005,0.501,0.47,70.49,19.88,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:17:00",1281548,12.99,23.96,97.63,22.18,0.066,100.1,0.108,2.674,0.011,1.067,1.062,39.65,5.317,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:18:00",1281549,12.98,23.99,97.63,22.21,0.052,100,0.113,2.678,0.009,1.169,1.165,25.81,5.085,0,0,1,0,20000,20000,0,23,63,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:19:00",1281550,12.98,24.01,97.62,22.18,0.031,100,0.097,2.672,0.006,1.331,1.324,27.32,6.117,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:20:00",1281551,12.98,24.01,97.62,22.28,0.018,100,0.077,2.69,0.004,1.344,1.341,28.47,4.14,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:21:00",1281552,12.99,24.07,97.62,22.34,0.047,100,0.094,2.698,0.009,0.853,0.836,38.98,11.26,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:22:00",1281553,12.99,24.1,97.62,22.42,0.042,100.1,0.117,2.713,0.007,0.588,0.576,76.34,11.61,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:23:00",1281554,12.98,24.13,97.62,22.38,0.023,100,0.1,2.705,0.005,0.836,0.762,122.7,24.16,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:24:00",1281555,12.99,24.16,97.62,22.23,0.051,100,0.134,2.68,0.009,1.031,1.03,145.9,1.819,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:25:00",1281556,12.98,24.19,97.61,22.26,0.04,100.1,0.098,2.688,0.006,1.699,1.687,151.9,6.813,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:26:00",1281557,12.97,24.25,97.61,22.32,0.023,100,0.113,2.696,0.004,1.767,1.765,160.2,3.124,0,0,1,0,20000,20000,0,23,62,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:27:00",1281558,12.98,24.25,97.61,22.47,0.08,100,0.087,2.72,0.013,1.715,1.689,154.1,9.94,0,0,1,0,20000,20000,0,23,61,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:28:00",1281559,12.98,24.3,97.6,22.63,0.05,100.1,0.073,2.747,0.008,1.878,1.862,156.3,7.499,0,0,1,0,20000,20000,0,23,61,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:29:00",1281560,12.98,24.33,97.6,22.64,0.017,100,0.111,2.749,0.005,2.378,2.371,158.4,4.323,0,0,1,0,20000,20000,0,23,61,0,81.65,0,0,0.098,0,116,0.001,0.999
"2023-07-07 20:30:00",1281561,12.97,24.36,97.6,22.66,0.014,100,0.082,2.751,0.003,2.592,2.585,154.1,4.16,0,0,1,0,20000,20000,0,23,61,0,81.65,0,0,0.098,0,116,0.001,0.999
